Name,Sex,Equipment,Age,BodyweightKg,WeightClassKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
Raimo Sjögren,M,Raw,72,101.6,110,75,170,385,232.86
Ilpo Liikala,M,Raw,41,95.9,100,165,302.5,690,427.39
Leena Stålstedt,F,Wraps,48,79.9,82.5,85,150,360,329.63
Jonna Korte,F,Wraps,22,66.9,67.5,80,145,360,369.79
Vanessa Torres,F,Wraps,30,55.7,56,95,167.5,402.5,475.58
Vilho Määttä,M,Wraps,64,93.9,100,125,210,515,322.06
Ari Salmi,M,Wraps,45,85.9,90,110,170,440,287.96
Petri Salonen,M,Wraps,41,109.8,110,180,265,670,394.51
Väinö Kivistö,M,Wraps,19,77.4,82.5,130,200,535,373.14
Jukka Matikainen,M,Wraps,22,90,90,110,200,475,303.24
Simo Mäkelä,M,Wraps,29,72.5,75,90,215,485,354.05
Tapio Laine,M,Multi-ply,64,123.3,125,240,0,240,137.15
Reijo Marin,M,Multi-ply,57,109.6,110,200,0,200,117.83
Maiju Hilander,F,Raw,59,73.6,75,75,0,75,72.16
Johanna Bies,F,Raw,45,59,60,0,0,0,0
Satu Lampikari-Olli,F,Raw,44,74.2,75,82.5,0,82.5,78.96
Vladlen Astaptsev,M,Raw,52,75,75,80,0,80,57
Seppo Laukkanen,M,Single-ply,54,105.3,110,0,290,290,173.12
Miikka Heikkinen,M,Single-ply,41,110.8,125,0,320,320,187.9
Kauko Viitala,M,Raw,78,80.9,82.5,0,150,150,101.69
Terry Lane Jacobs,M,Wraps,55,95.2,100,142.5,227.5,610,379.08
Dennis Affinati,M,Wraps,53,94.35,100,127.5,200,515,321.35
Shawn Roop,M,Wraps,46,99.75,100,182.5,303,713,434.36
Chester Merrill,M,Wraps,43,89.25,90,0,0,0,0
Toni Lee Cabral,F,Wraps,29,46.9,48,65,105,265,356.95
Scott Kiser,M,Wraps,28,99.45,100,142.5,227.5,557.5,340.04
Ben Chapman,M,Wraps,43,88.9,90,120,210,522.5,335.68
Chris Lajoie,M,Multi-ply,52,120.4,125,0,0,0,0
Sebastian Saiz,M,Wraps,18,67.5,67.5,70,135,287.5,221.67
Marcelina Lawrence,F,Multi-ply,18,82.5,82.5,77.5,155,382.5,344.24
A. Clark-Sanchez,M,Multi-ply,18,110,110,90,0,0,0
Rodney Lawrence,M,Multi-ply,18,125,125,112.5,185,497.5,283.5
Julia Brigham,F,Raw,18,69.4,75,60,120,282.5,282.72
Joe Kolitz,M,Raw,18,64.1,67.5,95,182.5,397.5,319.83
Tony Le,M,Raw,18,66.7,67.5,112.5,205,495,385.34
Jim Mammarella,M,Wraps,18,64.7,67.5,80,117.5,300,239.49
Joseph Mammarella,M,Wraps,18,72.6,75,112.5,187.5,455,331.81
Brock Smith,M,Wraps,18,87.9,90,112.5,190,472.5,305.37
Mitchell Lyles,M,Wraps,18,88.9,100,120,207.5,512.5,329.26
Cole Smith,M,Wraps,18,154.9,140,182.5,287.5,772.5,425.48
Rita Carlsson,F,Multi-ply,64,59,60,55,162.5,387.5,437.7
Nikki Merson,F,Wraps,45,67.4,67.5,65,127.5,300,306.51
Alexis McCarthy,F,Multi-ply,18,54,56,75,127.5,340,411.6
Rochelle Longstreth,F,Wraps,16,79,82.5,52.5,120,272.5,251.11
Paige Miller,F,Multi-ply,25,82.4,82.5,132.5,185,577.5,520.06
Kirby Anderson,M,Multi-ply,81,65.3,67.5,82.5,112.5,320,253.49
Richard Flores,M,Multi-ply,79,71.6,75,72.5,175,408,300.59
Jon Smoker,M,Raw,70,74.7,75,110,152.5,413,295.11
Jimmy Bishop,M,Single-ply,69,96.45,100,105,182.5,477.5,295.03
Francis Ruettiger,M,Multi-ply,62,81.45,82.5,160,227.5,665,448.96
Chris Williams,M,Wraps,58,88.55,90,110,167.5,400,257.51
Wade McAteer,M,Single-ply,52,118.45,125,220,62.5,487.5,281.14
Joseph Cornish,M,Wraps,54,77.45,82.5,112.5,80,252.5,176.03
Jeff Cory,M,Multi-ply,46,96.7,100,0,0,0,0
Jerry Adkins,M,Wraps,42,108.3,110,120,215,542.5,320.82
David Athey,M,Single-ply,23,80.25,82.5,182.5,242.5,675,459.92
Rachel Nutter,F,Multi-ply,46,143.05,90,162.5,0,162.5,125.88
John Brolley,M,Multi-ply,55,96.5,100,0,210,210,129.72
Mike Webber,M,Multi-ply,46,109.4,110,0,0,0,0
Tommy Dolan,M,Raw,30,89.6,90,202.5,0,202.5,129.57
Sean Hoey,M,Single-ply,43,97,100,0,315,315,194.14
Shane Brodie,M,Multi-ply,43,89.3,90,230,285,895,573.65
David Wilson,M,Wraps,18,89.2,90,167.5,190,603.5,387.04
Daniel Martinez,M,Wraps,40,105,110,190,330,890,531.82
Aaron Hayes,M,Wraps,20,150,0,165,260,730,403.91
Rhianon Lovelace,F,Wraps,21,62.4,67.5,105,185,465,503.03
Dani Nic Aoidh,F,Single-ply,39,59,60,77.5,160,392.5,443.34
Allison Hough,F,Single-ply,50,62,67.5,105,155,405,440.28
Dawn Morrell,F,Single-ply,56,80.4,82.5,78,130,308,281.05
Monica Johnson,F,Wraps,58,59.87,60,62.5,122.5,277.5,309.9
Cosette Neely,F,Multi-ply,39,47.26,48,122.5,142.5,422.5,565.96
Trevor Burns,M,Wraps,17,57.7,60,107.5,160,412.5,364.85
Misael Peraza,M,Multi-ply,29,81.65,82.5,190,275,785,529.18
Denise Mears,F,Single-ply,49,71.5,75,100,170,442.5,433.91
Jane Stabile,F,Multi-ply,64,72.1,75,0,0,0,0
Dan Zagar,M,Multi-ply,65,65,67.5,75,197.5,462.5,367.78
Matthew Kapustianyk,M,Multi-ply,35,87,90,0,122.5,122.5,79.61
William Hosken,M,Raw,79,74.3,75,65,132.5,285,204.42
Bianca Hernandez,F,Multi-ply,20,55.2,56,0,0,0,0
Stephanie VandeWeghe,F,Wraps,55,78.1,82.5,112.5,195,500,463.82
Joni Grant,F,Wraps,61,67.5,67.5,0,0,0,0
Cameron Casey,M,Wraps,15,81.1,82.5,95,187.5,472.5,319.84
Valerie Tinker,F,Raw,57,73.3,75,50,120,215,207.4
Kate Vale,F,Raw,49,59.7,60,45,90,220,246.23
Elena Kudryashova,F,Raw,42,51,52,65,125,280,354.31
Olivia Monro,F,Raw,17,80.8,82.5,65,110,267.5,243.43
Jessica Pallot,F,Raw,21,55.1,56,55,110,250,297.91
Vikki Thomas,F,Raw,37,56,56,40,102.5,217.5,255.91
Richard Kemp,M,Raw,57,89.6,90,90,222.5,475,303.93
Darryl Traince,M,Raw,41,88.4,90,0,0,0,0
Kiyan Tavanaie,M,Raw,18,58,60,95,97.5,317.5,279.45
Souleiman Turki,M,Raw,17,66.8,67.5,110,212.5,502.5,390.7
Maciel Davi Dos Santos,M,Raw,23,89.4,90,180,270,700,448.41
Andy Gregory,M,Raw,24,72.9,75,0,0,0,0
Shan Passmore,F,Wraps,46,60.9,67.5,0,0,0,0
Cristina Paulo,F,Wraps,44,59.5,60,57.5,130,287.5,322.62
Jessye Fuster,F,Wraps,19,59.6,60,47.5,127.5,272.5,305.39
Cheryl Stanley,F,Wraps,27,58,60,57.5,137.5,295,337.69
Steffen Burkhard,M,Wraps,67,73.4,75,95,150,400,289.4
Vilho Määttä,M,Wraps,64,81.5,82.5,110,190,445,300.32
Joaquim Morais,M,Wraps,59,109.3,110,165,230,610,359.69
Vladlen Astaptsev,M,Wraps,52,76.7,82.5,100,177.5,415,291.21
Mikhail Veber,M,Wraps,45,89.1,90,197.5,135,512.5,328.87
Ahmadreza Nasiriavanaki,M,Wraps,44,96.4,100,125,200,510,315.18
Quentin Jacob,M,Wraps,19,87.6,90,120,225,560,362.59
Sami Vaskelainen,M,Wraps,33,74.4,75,130,255,615,440.7
Dawn Morell,F,Single-ply,56,80.5,82.5,77.5,135,327.5,298.63
Isabel Gomes,F,Single-ply,42,59.8,60,50,140,330,368.87
Michela Gubernati,F,Single-ply,35,66.9,67.5,80,160,400,410.88
Adrian Phillips,M,Single-ply,53,95.6,100,0,0,0,0
Jarkko Forss,M,Multi-ply,21,90.7,100,260,272.5,832.5,529.39
Svetlana Sinacheva,F,Raw,50,77.9,82.5,117.5,0,117.5,109.16
Tomilov Elizabet,F,Raw,13,54.1,56,50,0,50,60.44
David Gibson,M,Raw,50,91.6,100,150,0,150,94.92
Martti Kirjokivi,M,Raw,80,74.7,75,100,0,100,71.46
Aleksandr Tkachuk,M,Raw,77,78.2,82.5,0,0,0,0
Boris Laishin,M,Raw,66,69.5,75,110,0,110,82.89
Reijo Murto,M,Raw,60,87.9,90,145,0,145,93.71
Sergei Nikiforov,M,Single-ply,69,74.6,75,135,0,135,96.56
Paul Morgan,M,Single-ply,44,99.8,100,235,0,235,143.13
Tapio Laine,M,Multi-ply,65,127.8,140,260,0,260,147.52
Antonin Adamov,M,Single-ply,59,99,100,0,260,260,158.88
Roy Thelin,M,Raw,18,140,140,175,0,175,97.79
Eddie Webber,M,Raw,18,75,75,177.5,0,177.5,126.48
Austin Simmons,M,Raw,18,75,75,165,0,165,117.57
Derek Moss,M,Raw,18,140,140,242.5,0,242.5,135.51
Craig Hubbs,M,Raw,18,90,90,130,0,130,82.99
Mike Jenkin,M,Raw,18,100,100,172.5,0,172.5,104.98
Allan Hernandez,M,Multi-ply,18,82.5,82.5,0,190,190,127.28
Seth Murray,M,Raw,18,82.5,82.5,0,207.5,207.5,139.01
Candice Kotz,F,Raw,18,60,60,55,127.5,287.5,320.53
Mikaela Insall,F,Raw,18,56,56,52.5,105,250,294.15
Syndey Chastain,F,Raw,18,60,60,47.5,102.5,237.5,264.79
Cher Smalling,F,Multi-ply,18,60,60,32.5,107.5,210,234.13
Damian Schultz,M,Wraps,18,82.5,82.5,112.5,240,560,375.15
Jerry Daniel,M,Wraps,18,140,140,182.5,282.5,737.5,412.12
Kevin Williams,M,Wraps,18,90,90,135,202.5,532.5,339.94
Jose Aguilar,M,Wraps,18,90,90,100,227.5,542.5,346.33
Zach Helton,M,Wraps,18,90,90,95,230,540,344.73
Jeremy Cuellar,M,Multi-ply,18,60,60,102.5,160,400,341.15
Wayne Shepherd,M,Raw,18,90,90,110,170,440,280.89
Lee Neef,M,Raw,18,125,125,142.5,227.5,597.5,340.48
Larry Cox,M,Multi-ply,18,90,90,250,240,732.5,467.62
Robby Leonguerrero,M,Raw,18,100,100,157.5,0,157.5,95.85
Leon Tamayo,M,Wraps,18,90,90,145,232.5,592.5,378.25
Charlie Salazar,M,Wraps,18,90,90,147.5,200,525,335.16
Robert Jordan,M,Wraps,18,82.5,82.5,142.5,227.5,567.5,380.17
Gabriella Olson,F,Raw,29,56,56,50,80,205,241.2
Susie Rose,F,Raw,75,56,56,27.5,95,122.5,144.13
Allison West,F,Raw,22,55.8,56,60,120,297.5,351.02
Cody Larsen,M,Raw,20,81.9,82.5,155,215,552.5,371.76
Andy Pepito,M,Raw,48,125,125,0,0,0,0
Mckinzi Atwood,F,Wraps,23,59.6,60,65,140,307.5,344.61
Taylor Vigil,F,Wraps,17,73.1,75,62.5,140,335,323.73
Emma Hogan,F,Wraps,34,93.2,90,90,130,327.5,279.12
Austin Rawls,M,Wraps,22,74.2,75,127.5,197.5,472.5,339.23
Michael Carlisle,M,Wraps,55,96,100,110,180,475,294.08
Haili Kupuka'a,M,Wraps,37,108.7,110,152.5,215,542.5,320.44
Anthony Campo,M,Single-ply,21,84.2,90,185,250,662.5,438.52
Tommy Ponzio,M,Single-ply,46,100,100,257.5,0,257.5,156.71
Michelle Barense,F,Raw,51,71.5,75,60,0,60,58.84
Michael Brandon,M,Raw,47,123.1,125,195,0,195,111.47
Gerald Lindas,M,Raw,80,70,75,97.5,0,97.5,73.07
Timothy Hensley,M,Multi-ply,37,92.1,100,347.5,0,347.5,219.32
Robert Medacco,M,Raw,39,114.7,125,207.5,0,207.5,120.65
Justin Schlaack,M,Raw,16,122,125,125,0,125,71.6
Shooter Woods,M,Raw,70,66.7,67.5,0,130,130,101.2
Darnell Fenderson,M,Single-ply,38,101.7,110,0,252.5,252.5,152.66
Jaden Barnard,M,Raw,14,55.9,56,0,102.5,102.5,93.47
Noah O'Shinski,M,Raw,17,88.9,90,0,182.5,182.5,117.25
Shamaine McVay,F,Raw,35,71.9,75,65,160,225,219.81
Shawna Smith,F,Raw,38,78.9,82.5,72.5,122.5,195,179.83
George Sotirakos,M,Multi-ply,44,108,110,297.5,307.5,605,358.1
Jessica Marquez,F,Wraps,38,101.85,90,65,135,312.5,258.83
Sandy Jiries,F,Raw,28,87.45,90,97.5,195,460,402.44
Ted Czmiel Sr,M,Wraps,64,83.75,90,67.5,142.5,317.5,210.81
Shannon Baxter,F,Wraps,47,74.3,75,55,97.5,257.5,246.24
William McLaurin,M,Wraps,31,93.6,100,152.5,272.5,652.5,408.65
Reggie Barber,M,Wraps,52,95.5,100,125,220,520,322.69
Kenny Harris,M,Wraps,49,107.4,110,122.5,145,390,231.26
Celicia McGee,F,Raw,34,73.7,75,72.5,122.5,277.5,266.75
Jackson Ware,M,Raw,21,82.2,82.5,60,145,297.5,199.73
David Shadmani,M,Raw,28,89.8,90,130,192.5,502.5,321.16
Steven Taylor,M,Raw,41,167.1,140,132.5,225,567.5,309.07
Jill Corrigan,F,Raw,48,125,90,57.5,112.5,170,134.96
Jamie Huey,M,Raw,49,110,110,132.5,0,132.5,77.98
Billy Koester,M,Multi-ply,56,105,110,92.5,165,495,295.79
Suzy MacLean,F,Wraps,31,73.1,75,85,187.5,422.5,408.28
Matt Reep,M,Wraps,42,81.4,82.5,190,250,670,452.5
Shawn Derby,F,Wraps,41,82.5,82.5,62.5,127.5,277.5,249.74
Chris Jenkins,M,Wraps,34,128.2,140,162.5,272.5,707.5,401.18
Stephen Coleman,M,Raw,32,151.9,140,245,315,890,491.56
Joshua Turner,M,Raw,33,74.8,75,120,0,120,85.67
Chris Knauer,M,Raw,18,125,125,200,0,200,113.97
Lane O'Dea,M,Raw,18,100,100,145,275,647.5,394.06
Lawrence McElhaney,M,Multi-ply,18,82.5,82.5,137.5,210,575,385.2
Pete Wilson,M,Multi-ply,18,90,90,115,145,410,261.74
Doug Ward,M,Wraps,67,109,110,75,105,205,120.98
Bob Baker,M,Single-ply,61,78.5,82.5,137.5,0,137.5,95.02
Susie Rose,F,Raw,75,56.2,60,35,97.5,182.5,214.13
Aspen Seward,F,Raw,15,75.9,82.5,0,102.5,102.5,96.72
Cody Byers,M,Raw,18,72.57,75,97.52,172.37,371.95,271.33
Anthony Lee,M,Raw,18,57.61,60,74.84,163.29,365.14,323.44
Tanner Morris,M,Single-ply,18,80.74,82.5,122.47,249.48,591.94,401.79
Gary Zeolla,M,Wraps,18,51.48,52,79.38,179.17,405.97,402.6
Kris Stanton,M,Multi-ply,18,99.34,100,165.56,231.33,639.57,390.28
Thomas Dutch,M,Wraps,18,122.02,125,149.69,285.76,680.39,389.7
George Shreve,M,Raw,18,145.6,140,172.37,272.16,762.04,423.41
Abi Stump,F,Wraps,18,72.12,75,83.91,156.49,374.21,364.84
Chris Andrix,M,Multi-ply,18,80.06,82.5,176.9,254.01,725.75,495.23
Colton Danison,M,Multi-ply,18,92.08,100,167.83,251.74,705.34,445.2
Colt Bush,M,Raw,18,74.39,75,79.38,172.37,365.14,261.68
Jeremy Hachet,M,Raw,18,116.57,125,138.35,240.4,616.89,357.18
Jim McNeil,M,Raw,18,88.9,90,113.4,0,113.4,72.85
Gary Huff,M,Raw,18,138.8,140,170.1,0,170.1,95.18
William Neath,M,Raw,18,107.95,110,170.1,0,170.1,100.7
Kathy Whetenhall,F,Single-ply,18,85.73,90,97.52,0,97.52,86.1
Jacob Williams,M,Raw,18,81.19,82.5,195.04,0,195.04,131.93
Jason Affolter,M,Raw,18,88.45,90,0,181.44,181.44,116.88
Darci Molina,F,Wraps,25,73,75,92.5,165,420,406.23
Jeff Arioli,M,Wraps,51,109.1,110,185,235,680,401.2
Scott Sutherlin,M,Wraps,45,113,125,160,240,672.5,392.64
Michael Sell,M,Wraps,23,99.2,100,170,310,772.5,471.66
Peter Katsuleas,M,Wraps,18,87.5,90,155,245,637.5,413.02
Jeffery Campbell,M,Wraps,16,91.7,100,110,217.5,537.5,339.95
Richard Kelly,M,Single-ply,63,190,140,185,0,185,98.78
Unknown Lifter,F,Raw,62,91.6,90,0,72.5,72.5,62.2
Vincent Falzetta,M,Wraps,20,66.8,67.5,137.5,277.5,652.5,507.33
Michael Stiel,M,Raw,47,140.2,140,165,0,0,0
Victor Greene,M,Raw,30,99.8,100,127.5,250,547.5,333.47
Dakota Barton,M,Raw,18,108.25,110,170,192.5,530,313.48
Brian Pittman,M,Raw,50,90.8,100,110,130,350,222.44
Devin Worth,F,Raw,22,66.7,67.5,65,115,300,308.83
Erin Kelly,F,Raw,28,80.5,82.5,67.5,150,332.5,303.19
Josh King,M,Wraps,22,122.8,125,172.5,280,680,388.94
Luke Beasley,M,Wraps,26,72.9,75,147.5,235,587.5,427.16
Anna Glogower,F,Wraps,24,51.1,52,70,122.5,302.5,382.21
William Tervo,M,Raw,49,77.75,82.5,115,195,310,215.57
Jason Elkins,M,Raw,37,113,125,117.5,0,117.5,68.6
Marissa Barbato,F,Raw,24,51.2,52,45,100,217.5,274.4
Chris Brookshire,M,Wraps,32,99.8,100,165,245,645,392.85
Peter Marston,M,Raw,70,100,100,90,0,90,54.77
Shawn Rolland,F,Wraps,43,61.01,67.5,55,85,197.5,217.37
Josie Nicole Godwin,F,Raw,16,67.81,75,57.5,102.5,235,239.06
Lonnie McGlashen,F,Wraps,50,53.98,56,50,115,260,314.85
Tiffany Biancardi,F,Wraps,21,57.38,60,72.5,117.5,315,363.63
Anthony Duncan,M,Raw,33,103.65,110,110,185,457.5,274.65
Rick Samples,M,Wraps,49,96.62,100,162.5,210,570,351.91
Joseph Gonzalez Jr,M,Wraps,70,93.67,100,102.5,160,385,241.04
Amia Davis,F,Raw,21,65.5,67.5,67.5,132.5,200,208.64
Kelli Holschuh,F,Single-ply,26,74.4,75,80,0,80,76.44
Darian Slama,F,Wraps,22,80.74,82.5,90,175,405,368.7
Ella Browning,F,Wraps,12,64,67.5,30,72.5,150,159.19
Vince Breaux,M,Single-ply,71,97,100,145,182.5,455,280.43
Donna Bingham,F,Wraps,48,81.8,82.5,70,127.5,327.5,296.06
Katelyn Cowen,F,Single-ply,28,55.7,56,67.5,122.5,305,360.38
Lee Lichtle,M,Raw,73,83,90,125,182.5,455,303.71
Eric Kahn,M,Wraps,66,103.8,110,140,142.5,417.5,250.5
Alex Ortiz,M,Multi-ply,47,105.41,110,247.5,255,822.5,490.82
Walter Leher,M,Multi-ply,39,146.15,140,250,240,840,466.48
John Lenz,M,Multi-ply,44,108.95,110,287.5,257.5,910,537.13
Carl Lindlauf,M,Raw,21,118.39,125,127.5,277.5,405,233.59
EJ Avalos,M,Multi-ply,30,117.03,125,280,272.5,917.5,530.7
Joel Dircks,M,Raw,34,137.26,140,195,285,745,417.57
Fred Clary,M,Multi-ply,50,147.87,140,202.5,227.5,772.5,428.28
Mandy Rolstand,F,Wraps,39,57.79,60,42.5,107.5,225,258.29
Laura Hatzenbuhler,F,Raw,51,71.4,75,45,102.5,147.5,144.77
Noah Young,M,Raw,14,69.76,75,0,115,115,86.41
Kayla Forcier,F,Wraps,23,49.53,52,57.5,120,302.5,391.39
Sydney Elling,F,Raw,25,80.92,82.5,45,117.5,245,222.77
Barb Welp,F,Wraps,46,79.83,82.5,50,127.5,275,251.93
Megan Fahy,F,Raw,22,81.56,82.5,0,140,140,126.76
Amelia Campbell,F,Raw,23,73.12,75,80,142.5,345,333.33
Taylor Hewitt,F,Wraps,22,83.01,90,80,160,382.5,343.14
Karla Jager,F,Wraps,29,74.93,75,77.5,167.5,387.5,368.59
Alexis Ortiz,F,Raw,19,90.54,90,70,172.5,435,374.94
Abby Russi,F,Raw,39,71.4,75,77.5,0,77.5,76.07
Jerry Hatzenbuhler,M,Wraps,52,65.77,67.5,65,110,277.5,218.52
Alyssa Klein,F,Multi-ply,44,81.83,82.5,140,182.5,527.5,476.77
J. R. Bolger,M,Wraps,50,133.36,140,160,182.5,570,320.97
Roman Esparza,M,Wraps,25,103.24,110,125,250,605,363.72
Michael Owen,M,Raw,34,88.72,90,97.5,185,405,260.47
Joseph Lovely,M,Wraps,48,103.06,110,92.5,212.5,470,282.74
Alex Binkley,M,Wraps,23,82.01,82.5,152.5,227.5,605,406.75
Brandon Mitzel,M,Multi-ply,23,94.71,100,182.5,265,765,476.51
Casey Day,M,Single-ply,29,89.81,90,225,287.5,825,527.24
Thomas Strang,M,Raw,70,108.05,110,150,0,150,88.77
Timur Andreev,M,Raw,25.5,110,110,220,320,860,506.1
Maksim Svintsov,M,Wraps,22.5,89.7,90,185,300,755,482.81
Konstantin Sokolovsky,M,Raw,14.5,65.9,67.5,97.5,0,97.5,76.65
Vladimir Kravtsov,M,Raw,18,124.8,125,302.5,0,302.5,172.43
Vladimir Maksimov,M,Raw,18,134,0,280,0,280,157.54
Joe Strike,M,Raw,18,58.25,59,82.5,102.5,270,236.68
Sharn Rowlands,F,Single-ply,18,43.8,47,70,120,340,480.2
Rebecca Heath,F,Single-ply,18,45.5,47,50,105,237.5,326.85
Eren Oguz,M,Single-ply,18,52.15,53,75,187.5,362.5,354.64
Lucy Rayner,F,Single-ply,18,55.45,57,90,127.5,335,397.22
Joe Sherwood,M,Single-ply,18,56.15,59,57.5,105,232.5,211.1
William Murray,M,Single-ply,18,73.2,74,150,205,560,405.96
Kay Adams,F,Single-ply,18,45.3,47,45,95,222.5,307.15
Marina Cornwall,F,Single-ply,18,44.2,47,51,115,246,345.33
Jenny Hunter,F,Single-ply,18,51.5,52,75,150,340,427.03
Roger Little,M,Single-ply,18,65.6,66,65,160.5,345.5,272.65
John Maxwell,M,Single-ply,18,64.1,66,100,200,470,378.16
Phill Richard,M,Single-ply,18,72.8,74,200,237.5,722.5,525.84
Joga Singh,M,Single-ply,18,72.4,74,132.5,215,567.5,414.69
Anita Kidgell,F,Raw,18,50.6,52,50,112.5,232.5,295.98
Sue Giles,F,Raw,18,71.2,72,52.5,115,252.5,248.3
Bill Taylor,M,Raw,18,64.5,66,87.5,147.5,357.5,286.13
Ted Byrne,M,Raw,18,64.6,66,85,195,415,331.72
Roger Powell,M,Raw,18,63.9,66,65,150,315,254.13
Kevin Wooldrage,M,Raw,18,71.4,74,115,200,485,358.06
Megan Ainsworth,F,Single-ply,18,37.3,43,65,0,65,100.68
Alison Booker,F,Single-ply,18,56.7,57,77.5,0,77.5,90.3
Aaron Gideon,M,Single-ply,18,63.7,66,175,0,175,141.56
Jared Sayed,M,Single-ply,18,72.3,74,130,0,130,95.09
Graham Mellor,M,Single-ply,18,156.6,120+,220,0,220,120.98
Annabell Gillan,F,Raw,18,52,52,50,110,237.5,296.08
Kaytee Poolton,F,Raw,18,52,52,59,117.5,294,366.51
Elizabeth Hill,F,Raw,18,52,52,45,100,222.5,277.38
Lee Hellstrom,F,Raw,18,66,72,70,152.5,307.5,318.99
Claire Conway,F,Single-ply,18,60.2,63,55,140,275,305.8
Pierre Shillingfo,M,Raw,18,91.2,93,165,290,697.5,442.33
Robert Pulling,M,Single-ply,18,105.2,120,230,250,770,459.81
Jamila Digankar,F,Raw,18,41.1,43,27.5,70,157.5,231.56
Roger Little,M,Single-ply,18,66.5,74,65,150,325,253.62
Douge D'Gama,M,Single-ply,18,81.8,83,145,240,600,404.02
Hari Singh,M,Single-ply,18,73.7,74,132.5,190,522.5,376.93
Ellysha Nester,F,Single-ply,18,61.75,63,65,137.5,352.5,384.39
Carole Taylor,F,Single-ply,18,57.7,63,57.5,157.5,350,402.28
Sue Hollands,F,Single-ply,18,84.65,84+,80,165,428,380.21
Joseph Strike,M,Raw,18,55.2,59,85,0,85,78.48
Jared Syed,M,Raw,18,76.7,74,117.5,0,117.5,82.45
Hari Singh Cheema,M,Single-ply,18,71.4,74,130,0,130,95.98
Richard Balderston,M,Single-ply,18,86.1,93,220.5,0,220.5,144.12
Danielle Malcolm,F,Raw,18,51.5,52,77.5,142.5,332.5,417.61
Sarah Stanhope,F,Raw,18,62.2,63,65,127.5,322.5,349.73
Jasvinder Singh Cheema,M,Single-ply,18,82.3,83,200,0,200,134.18
Chris Farrow,M,Single-ply,18,114.4,120,187.5,0,187.5,109.1
Anna Kennett,F,Raw,18,62.6,63,67.5,0,67.5,72.84
Ted Brown,M,Raw,18,56.5,59,75,0,75,67.69
Billy Osborn,M,Raw,18,88.8,93,130,0,130,83.57
Rosimery Lima Gallo,F,Single-ply,18,62.6,63,97.5,185,452.5,488.32
TS Adewale,M,Single-ply,18,83.1,93,120,220,520,346.85
Connor Burkhill,M,Raw,18,65.9,66,120,0,120,94.34
Lee Betteridge,M,Raw,18,79.4,83,150,0,150,102.89
Diell Zejnullaha,M,Raw,18,99.7,105,122.5,0,122.5,74.64
Georgia Blakeman,F,Raw,18,51.1,52,58,0,58,73.28
Maria Andrews,F,Raw,18,52,52,57.5,0,57.5,71.68
Orla Mahon,F,Single-ply,18,80.1,84,92.5,0,92.5,84.58
Bianca-Jade Pennington,F,Single-ply,18,57.35,63,70,145,355,409.97
Tiffany Wood,F,Single-ply,18,62.4,63,77.5,140,347.5,375.92
Daniel Sherman,M,Single-ply,18,65.5,66,97.5,253,580.5,458.68
Greig Murray,M,Raw,18,65.1,66,110,230,495,393.12
Henry Chay,M,Raw,18,64.5,66,82.5,200,432.5,346.16
William Taylor,M,Raw,18,65.3,66,85,140,345,273.29
Ernie Parks,M,Raw,18,81.4,83,92.5,227.5,490,330.93
June Stamp,F,Raw,18,46.6,47,37.5,82.5,195,263.87
Imelda Flanagan,F,Raw,18,42,47,40,110,222.5,322.84
Linda Kaminski,F,Raw,18,49.1,52,42.5,120,262.5,341.86
Samantha Devlin,F,Raw,18,57.9,63,55,110,260,298.03
Joy Nnamani,F,Raw,18,56.1,57,82.5,185,417.5,490.55
Julie Kearney,F,Raw,18,56.5,57,65,130,297.5,347.61
Alison Drysdale,F,Single-ply,18,55.5,57,52.5,115,265,314
Shelley Tipling,F,Single-ply,18,61.3,63,92.5,137.5,377.5,413.97
Stephanie Pike,F,Single-ply,18,63.3,72,67.5,182.5,382.5,409.32
Caroline Shearer,F,Raw,18,63.8,72,50,145,320,340.41
Lucy Cohen,F,Single-ply,18,73.1,84,100,157.5,412.5,398.62
Krzysztof Bracha,M,Raw,18,63.5,66,115,230,535,433.94
Jake Downes,M,Raw,18,63.8,66,120,232.5,520,420.07
Luke Rogers,M,Single-ply,18,76.7,83,132.5,270,632.5,443.83
Daniel Potter,M,Raw,18,78.4,83,145,242.5,567.5,392.48
Alex Thomson,M,Single-ply,18,92,93,155,260,640,404.13
Drew Lupton,M,Single-ply,18,89.9,93,130,230,567.5,362.49
Jordan Walters,M,Single-ply,18,105.1,120,155,260,677.5,404.71
Emily -Jane Sheppard,F,Single-ply,18,60.8,63,55,115,290,320.02
Joe Sherwood,M,Single-ply,18,67.9,74,105,200,515,395.21
Gemma Lucas,F,Raw,35,61,67.5,40,100,210,231.16
Munira Patel,F,Wraps,31,59,60,45,117.5,232.5,262.62
Diana Chimhundu,F,Raw,53,65.9,67.5,42.5,117.5,245,254.44
Amanda Cunliffe,F,Wraps,49,58.9,60,50,122.5,272.5,308.21
Geni Devonish,F,Raw,43,86.5,90,75,145,335,294.55
Tony Micallef,M,Wraps,42,71.5,75,80,160,350,258.13
Paul Barnes,M,Raw,48,74.9,75,105,190,435,310.25
Alex Thompson-Carse,M,Raw,15,80.9,82.5,85,192.5,402.5,272.87
Paul Bartlett,M,Wraps,37,66.5,67.5,110,192.5,477.5,372.62
Tony Roscoe,M,Wraps,46,82.5,82.5,90,220,470,314.86
